ticker,Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
MMM,MMM,Common Stock,3M Company,"3M Company is a diversified American multinational conglomerate renowned for its innovation across various sectors including industrial, safety, healthcare, and consumer goods. With a portfolio of over 60,000 products, 3M commands a significant presence in markets such as adhesives, abrasives, medical products, and personal protective equipment under its prominent brands. Headquartered in Maplewood, Minnesota, the company has established itself as a leader in technological development and sustainability, positioning itself well for future growth while addressing evolving consumer and industrial needs.",66740.0,NYSE,USD,USA,INDUSTRIALS,CONGLOMERATES,"3M CENTER, SAINT PAUL, MN, UNITED STATES, 55144-1000",https://www.3m.com,December,2025-06-30,80480354000.0,5795000000.0,20.96,3.367,8.05,2.86,0.0192,7.21,45.23,0.16,0.178,0.0732,0.948,24601999000,10114000000,7.21,-0.351,0.014,163.06,2,9,3,1,2,20.96,19.19,3.271,19.72,3.825,13.4,1.108,163.4,120.83,154.84,147.94,532630000,531841000,0.107,75.354,2025-09-12,2025-08-25
AOS,AOS,Common Stock,Smith AO Corporation,"A. O. Smith Corporation is a leading American manufacturer specializing in residential and commercial water heating solutions, including water heaters and boilers, and holds the distinction of being the largest manufacturer and marketer of water heaters in North America. In addition to its robust presence in the North American market, the company has strategically expanded its offerings to include water treatment products, particularly within the growing Asian market. A. O. Smith's commitment to innovation and quality positions it well in the evolving landscape of water solutions, making it a compelling choice for institutional investors seeking sustainable growth opportunities.",91142.0,NYSE,USD,USA,INDUSTRIALS,SPECIALTY INDUSTRIAL MACHINERY,"11270 WEST PARK PLACE, MILWAUKEE, WI, UNITED STATES, 53224",https://www.aosmith.com,December,2025-06-30,9483971000.0,768100000.0,18.85,1.791,13.17,1.34,0.0198,3.59,26.34,0.137,0.203,0.133,0.276,3790200000,1447900000,3.59,0.009,-0.013,79.83,0,4,10,1,0,18.85,17.39,2.502,5.58,2.759,13.47,1.303,80.34,58.25,72.07,68.31,114260000,226060000,0.772,98.792,2025-08-15,2025-07-31
ABT,ABT,Common Stock,Abbott Laboratories,"Abbott Laboratories (ABT) is a leading American multinational healthcare company headquartered in Abbott Park, Illinois, specializing in a diverse portfolio of medical devices, diagnostics, branded generic medicines, and nutritional products. Founded in 1888 by Dr. Wallace Calvin Abbott, the company has evolved significantly over the years, including the strategic spin-off of its research-based pharmaceuticals into AbbVie in 2013. Abbott's commitment to innovation and quality positions it as a key player in the global healthcare market, where it continuously seeks to enhance health outcomes through advanced technology and comprehensive solutions.",1800.0,NYSE,USD,USA,HEALTHCARE,MEDICAL DEVICES,"100 ABBOTT PARK ROAD, NORTH CHICAGO, IL, UNITED STATES, 60064-6400",https://www.abbott.com,December,2025-06-30,228661510000.0,11453000000.0,16.48,4.168,29.05,2.32,0.0175,7.97,24.78,0.324,0.197,0.0662,0.309,43108999000,24278000000,7.97,0.365,0.074,143.12,6,14,7,0,1,16.48,23.36,5.3,4.577,5.51,20.54,0.696,139.95,109.7,132.52,129.92,1740459000,1730208000,0.543,80.645,2025-11-17,2025-10-15
ABBV,ABBV,Common Stock,AbbVie Inc,"AbbVie Inc is a leading American biopharmaceutical company, established in 2013 from a spin-off of Abbott Laboratories. The company specializes in the research, development, and commercialization of advanced therapies in immunology, oncology, virology, and neuroscience. With a robust pipeline of innovative treatments, AbbVie is committed to addressing some of the world's most challenging health issues and is recognized for its blockbuster immunology drug, Humira. AbbVie continues to strengthen its portfolio through strategic acquisitions and collaborations, positioning itself as a formidable player in the global biopharmaceutical landscape.",1551152.0,NYSE,USD,USA,HEALTHCARE,DRUG MANUFACTURERS - GENERAL,"1 NORTH WAUKEGAN ROAD, NORTH CHICAGO, IL, UNITED STATES, 60064-6400",https://www.abbvie.com,December,2025-06-30,406838346000.0,28074000000.0,109.67,0.425,-0.104,6.47,0.0281,2.1,32.98,0.0645,0.375,0.0887,1.129,58327998000,41556001000,2.1,-0.324,0.066,234.15,5,14,8,0,1,109.67,16.84,6.97,50.46,8.26,34.03,0.507,244.81,159.42,215.24,196.06,1766558000,1762937000,0.104,74.506,2025-11-14,2025-10-15
ACN,ACN,Common Stock,Accenture plc,"Accenture plc is a leading Irish-domiciled global professional services company that specializes in consulting, digital, technology, and operations services. Since its incorporation in Dublin in 2009, Accenture has leveraged its extensive industry knowledge to drive innovation and efficiency for clients across various sectors. The firm is renowned for its commitment to delivering transformative solutions that enhance business performance and foster sustainable growth, positioning it as a key player in the rapidly evolving digital landscape.",1467373.0,NYSE,USD,USA,TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,"1 GRAND CANAL SQUARE, DUBLIN, IRELAND, D02 P820",https://www.accenture.com,August,2025-08-31,151041032000.0,12222532000.0,20.06,1.898,50.16,6.07,0.0252,12.14,111.5,0.11,0.152,0.112,0.255,69672976000,22235400000,12.14,-0.155,0.073,278.32,3,12,8,1,0,20.06,17.64,2.168,4.872,2.134,11.49,1.278,391.86,227.92,247.36,304.4,620139000,619041000,0.073,82.145,2025-11-14,2025-10-10
ADBE,ADBE,Common Stock,Adobe Systems Incorporated,"Adobe Inc. is a leading American multinational software company headquartered in San Jose, California, renowned for its innovative solutions in digital media and marketing. The company has established itself as a dominant player in content creation and publishing with flagship products such as Adobe Photoshop, Illustrator, and Acrobat, which are integral to professionals in various creative industries. Additionally, Adobe has successfully diversified its offerings into digital marketing management through Adobe Experience Cloud, enabling businesses to enhance their customer engagement strategies. With millions of users globally, Adobe continues to leverage AI and cloud technology to drive growth and maintain its competitive edge in a rapidly evolving digital landscape.",796343.0,NASDAQ,USD,USA,TECHNOLOGY,SOFTWARE - APPLICATION,"345 PARK AVENUE, SAN JOSE, CA, UNITED STATES, 95110-2704",https://www.adobe.com,November,2025-08-31,142039351000.0,9060000000.0,21.14,1.003,28.02,,,16.05,53.63,0.3,0.363,0.181,0.529,23181001000,20662999000,16.05,0.112,0.107,454.18,5,20,12,3,0,21.14,15.06,6.13,12.5,6.38,15.46,1.49,557.9,330.04,351.32,389.64,418600000,417374000,0.182,86.867,,2005-03-24
AMD,AMD,Common Stock,Advanced Micro Devices Inc,"Advanced Micro Devices, Inc. (AMD) is a leading American semiconductor company headquartered in Santa Clara, California, specializing in the development of innovative computer processors and related technologies. With a diverse product portfolio that includes microprocessors, graphics processors, and motherboard chipsets, AMD serves a wide range of markets, including data centers, enterprise solutions, and consumer electronics. The company's strong focus on high-performance computing and graphics positions it as a key player in the growing semiconductor industry, driving advancements in technology and meeting the evolving needs of businesses and consumers alike.",2488.0,NASDAQ,USD,USA,TECHNOLOGY,SEMICONDUCTORS,"2485 AUGUSTINE DRIVE, SANTA CLARA, CA, UNITED STATES, 95054",https://www.amd.com,December,2025-06-30,351215813000.0,5510000000.0,129.59,0.525,36.78,,,1.67,18.25,0.0957,-0.0128,0.0219,0.047,29600000000,15092000000,1.67,2.336,0.317,230.11,5,31,16,0,0,129.59,28.57,11.87,4.617,9.24,48.83,1.894,240.1,76.48,171.41,130.91,1622844000,1611354000,0.504,69.098,,1995-04-27
AES,AES,Common Stock,The AES Corporation,"The AES Corporation, a Fortune 500 leader in the global power sector, specializes in the generation and distribution of electricity across diverse markets. Headquartered in Arlington, Virginia, AES operates a portfolio of renewable and traditional energy sources, focusing on sustainability and innovation to meet the growing energy demands. With a commitment to enhancing energy access while reducing emissions, AES is strategically positioned to capitalize on the evolving landscape of the energy industry, making it an attractive prospect for institutional investors.",874761.0,NYSE,USD,USA,UTILITIES,UTILITIES - DIVERSIFIED,"4300 WILSON BOULEVARD, ARLINGTON, VA, UNITED STATES, 22203",https://www.aes.com,December,2025-06-30,10281995000.0,3076000000.0,11.11,1.092,4.732,0.7,0.0498,1.3,16.9,0.0766,0.14,0.0228,0.0174,12032000000,2036000000,1.3,-0.892,-0.03,14.21,3,4,4,2,0,11.11,6.18,0.855,3.02,3.249,11.94,0.924,16.98,9.28,13.34,11.92,712050000,708034000,0.464,93.868,2025-11-14,2025-10-31
AFL,AFL,Common Stock,Aflac Incorporated,"Aflac Incorporated (ticker: AFL) is a leading U.S. insurance provider specializing in supplemental insurance, offering a range of products designed to protect policyholders against unexpected medical expenses and financial burdens. With a robust presence in both the U.S. and Japan, Aflac is renowned for its competitive advantage in supplemental health insurance, particularly its innovative cancer and accident policies. The company's strong financial performance, characterized by consistent revenue growth and a solid balance sheet, underscores its resilience and ability to deliver value to shareholders while navigating the evolving insurance landscape.",4977.0,NYSE,USD,USA,FINANCIAL SERVICES,INSURANCE - LIFE,"1932 WYNNTON ROAD, COLUMBUS, GA, UNITED STATES, 31999",https://www.aflac.com,December,2025-06-30,58970522000.0,3446000000.0,24.83,0.93,50.86,2.16,0.0195,4.44,29.04,0.153,0.21,0.0173,0.0915,15910000000,6585000000,4.44,-0.642,-0.19,110.0,2,1,8,1,1,24.83,15.2,3.707,2.175,4.128,-,0.849,113.9,96.14,107.4,105.57,534831000,530189000,10.541,59.609,2025-09-02,2025-08-20
A,A,Common Stock,Agilent Technologies Inc,"Agilent Technologies, Inc. is a leading American company specializing in analytical instrumentation, providing advanced solutions that cater to a diverse array of markets worldwide. Headquartered in Santa Clara, California, Agilent delivers innovative products and services essential for scientific research, diagnostics, and quality control. The company's robust portfolio includes instruments and software for life sciences, diagnostics, and applied chemical markets, positioning it as a key player in the global analytical economy. With a strong focus on innovation and customer-centric solutions, Agilent remains committed to supporting the changing needs of its clients across various industries.",1090872.0,NYSE,USD,USA,HEALTHCARE,DIAGNOSTICS & RESEARCH,"5301 STEVENS CREEK BOULEVARD, SANTA CLARA, CA, UNITED STATES, 95051",https://www.agilent.com,October,2025-07-31,39188263000.0,1838000000.0,32.22,2.163,22.46,0.98,0.0072,4.29,23.84,0.18,0.232,0.0835,0.199,6788000000,3569000000,4.29,0.216,0.101,147.77,2,6,10,0,0,32.22,22.94,5.77,6.17,6.07,22.92,1.262,152.88,96.03,124.76,123.07,283500000,282491000,0.29,92.679,2025-10-22,2025-09-30
APD,APD,Common Stock,Air Products and Chemicals Inc,"Air Products and Chemicals, Inc. (Ticker: APD) is a leading global manufacturer of industrial gases and chemicals, headquartered in Allentown, Pennsylvania. The company primarily serves a diverse range of industries, including energy, healthcare, and manufacturing, providing essential products such as oxygen, nitrogen, and hydrogen that facilitate a variety of applications. With a commitment to sustainability and innovation, Air Products focuses on developing cutting-edge technologies to reduce carbon emissions and enhance energy efficiency. Its strategic investments in clean energy initiatives position Air Products as a key player in the transition to a more sustainable energy future.",2969.0,NYSE,USD,USA,BASIC MATERIALS,SPECIALTY CHEMICALS,"1940 AIR PRODUCTS BOULEVARD, ALLENTOWN, PA, UNITED STATES, 18106-5500",https://www.airproducts.com,September,2025-06-30,58055336000.0,4369200000.0,37.05,6.69,69.81,7.12,0.0277,7.04,54.16,0.129,0.243,0.0451,0.0934,12057900000,3843000000,7.04,0.024,0.012,319.95,3,12,7,0,1,37.05,20.75,4.815,3.876,6.32,20.78,0.839,334.71,240.55,284.57,289.46,222554000,221434000,0.402,94.252,2025-11-10,2025-10-01
ABNB,ABNB,Common Stock,Airbnb Inc,"Airbnb, Inc. (ABNB) is a leading online marketplace based in San Francisco, California, that connects travelers with unique accommodations and experiences, including vacation rentals and tourism activities across the globe. Founded in 2008, the company has revolutionized the hospitality industry by offering diverse lodging options, from urban apartments to rural retreats. With a strong focus on enhancing user experience and leveraging cutting-edge technology, Airbnb continues to expand its market presence while fostering community connections and promoting local cultures. As the company navigates a post-pandemic recovery, it remains well-positioned to capitalize on growing travel demands and evolving consumer preferences.",1559720.0,NASDAQ,USD,USA,CONSUMER CYCLICAL,TRAVEL SERVICES,"888 BRANNAN STREET, SAN FRANCISCO, CA, UNITED STATES, 94103",https://www.airbnb.com,December,2025-06-30,72360133000.0,2654000000.0,28.85,1.508,12.7,,,4.12,18.59,0.227,0.198,0.0611,0.333,11580000000,9638000000,4.12,0.016,0.127,137.97,2,12,25,5,1,28.85,24.81,6.25,9.56,5.64,25.07,1.109,163.93,99.88,124.11,129.6,429080000,412696000,1.493,82.064,,
AKAM,AKAM,Common Stock,Akamai Technologies Inc,"Akamai Technologies, Inc. is a leading global provider of content delivery network (CDN) services, cybersecurity solutions, and cloud computing technologies. The company specializes in optimizing and securing digital experiences for businesses by leveraging its vast network of servers to deliver content quickly and efficiently while protecting against online threats. With a focus on enhancing website performance and securing sensitive data, Akamai serves a diverse clientele across various sectors, making it a pivotal player in the increasingly digital and data-driven economy. Its innovative technologies and strategic partnerships position Akamai as an essential ally for enterprises looking to navigate the complexities of cloud-based services and cybersecurity.",1086222.0,NASDAQ,USD,USA,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,"145 BROADWAY, CAMBRIDGE, MA, UNITED STATES, 02142",https://www.akamai.com,December,2025-06-30,10581853000.0,1150509000.0,26.08,0.671,30.06,,,2.83,27.43,0.104,0.149,0.0381,0.0921,4083251000,2414609000,2.83,-0.174,0.065,95.2,2,10,8,3,1,26.08,11.07,2.591,2.504,3.793,12.21,0.756,106.8,67.51,76.12,81.51,143386000,140151000,1.969,98.531,,
